Set_Number	Individual_ID	OneWayAcc	TwoWayAcc	ThreeWayAcc	FourWayAcc	FiveWayAcc	Best
1201	1	0.502333	0.506	0.518667	0.542333	0.668333	0
1201	2	0.502667	0.505333	0.519	0.543333	0.667333	0
1201	3	0.501333	0.505667	0.518667	0.543333	0.666667	0
1201	4	0.501333	0.505333	0.519	0.544	0.666333	0
1201	5	0.501	0.505333	0.519	0.543667	0.665667	0
1201	6	0.501333	0.506	0.518333	0.542667	0.666	0
1201	7	0.501333	0.505333	0.517333	0.542333	0.663	0
1201	8	0.502	0.505333	0.518333	0.542	0.663	0
1201	9	0.501667	0.505667	0.517667	0.538667	0.656	0
1201	10	0.502	0.505667	0.516333	0.54	0.66	0
1201	11	0.502	0.505667	0.515667	0.541333	0.658667	0
1201	12	0.502667	0.505667	0.515667	0.539	0.657	0
1201	13	0.501667	0.505667	0.515667	0.54	0.658	0
1201	14	0.502	0.506	0.515667	0.539667	0.658	0
1201	15	0.501	0.505	0.517333	0.539333	0.657333	0
1201	16	0.501	0.504333	0.515333	0.539	0.656667	0
1201	17	0.501333	0.504333	0.516333	0.54	0.658	0
1201	18	0.502	0.505667	0.517333	0.543333	0.664667	0
1201	19	0.502	0.505	0.516667	0.542667	0.660333	0
1201	20	0.501667	0.506	0.516667	0.544	0.663	0
1201	21	0.502	0.506333	0.515667	0.542667	0.661667	0
1201	22	0.501667	0.507	0.516	0.543	0.662667	0
1201	23	0.502	0.507	0.516	0.541667	0.662667	0
1201	24	0.502	0.507333	0.516667	0.543	0.663667	0
1201	25	0.502	0.505333	0.517	0.544667	0.662333	0
1201	26	0.502667	0.505333	0.517	0.544667	0.662667	0
1201	27	0.501667	0.507667	0.516	0.542333	0.661	0
1201	28	0.502	0.506	0.517	0.542333	0.662	0
1201	29	0.501333	0.505333	0.518333	0.539	0.661	0
1201	30	0.501667	0.505	0.518667	0.539667	0.660333	0
1201	31	0.501667	0.505333	0.517333	0.54	0.661	0
1201	32	0.501667	0.505	0.518	0.541333	0.661	0
