OneWayAcc	TwoWayAcc	FourWayAcc	ChiMaxs	ChiSums	Best
0.507	0.512333	0.665	4.03230309775576	12.3575725792077	0
0.508	0.514667	0.662667	3.24528435022188	9.76641412937666	0
0.505333	0.510667	0.649667	4.04122320422861	12.8690685137187	0
0.507667	0.512333	0.664	3.420985624442	11.3616060996037	0
0.503	0.512667	0.657667	5.8624227601535	18.7101665595894	0
0.502333	0.513	0.657667	6.11208706741479	19.6432757065716	0
0.506	0.511333	0.658667	3.45502521381352	12.8746520001390	0
0.507667	0.514667	0.662667	3.43628468273382	9.79397282951075	0
0.504333	0.512333	0.664	5.97599621980145	20.0074926779781	0
0.504333	0.511333	0.658667	6.37330312728001	19.1060962897213	0
0.508333	0.512667	0.661	1.38599674309826	4.16901162337169	0
0.503333	0.513333	0.661	6.3246280087698	19.2028601490094	0
0.509667	0.514	0.665	3.04377031552985	9.46859562295914	0
0.507333	0.512667	0.657667	1.51229650069849	4.08567182990105	0
0.505333	0.511667	0.650333	3.07436231645058	11.5007945854341	0
0.505667	0.512	0.648667	2.98163802641038	10.8603780749815	0
0.506	0.510667	0.657333	3.84964060387912	13.4502908232168	0
0.506	0.511333	0.658333	3.40838096929933	12.6905578234709	0
0.505667	0.514	0.655333	3.16763976325852	11.3370172146390	0
0.507667	0.511667	0.658	3.04951011999541	10.1462082799537	0
0.503	0.510333	0.658667	6.89877767982706	20.5869711799929	0
0.503	0.510667	0.66	6.90552367501735	20.3852621269419	0
0.507333	0.513	0.655667	1.26512304003099	3.84303013352181	0
0.507333	0.512	0.655667	1.38599674309826	3.96582986778824	0
0.503333	0.511333	0.657	6.11814500289497	19.6837564975219	0
0.505	0.511333	0.659333	6.37330312728001	18.9249158416381	0
0.504667	0.511667	0.658333	6.63980989823425	18.7353393186045	0
0.504333	0.511667	0.659667	6.62656444228006	19.3179465862041	0
0.503333	0.513333	0.658	5.28614992305232	18.6952110985979	0
0.503333	0.512333	0.654	5.37288257363782	18.6198710187031	0
0.502667	0.513	0.659667	6.63980989823425	19.4754046883547	0
0.503	0.512667	0.658	6.37330312728001	18.7766383090265	0
0.502667	0.513667	0.656	5.36688123527013	18.6803240002589	0
0.502667	0.514	0.657667	5.61199816272063	19.1716349559965	0
0.512	0.513667	0.655333	1.36781377398129	2.50684409436759	0
0.509667	0.514333	0.658333	1.25206697792532	3.05921601264074	0
0.51	0.514667	0.66	1.49397956647728	3.05888140275339	0
0.503333	0.513333	0.661667	6.08151819103928	19.8275770249492	0
0.503667	0.513	0.663	6.23870628462692	19.8264382844593	0
0.509333	0.512667	0.654	1.26512304003099	3.47527833867637	0
0.506333	0.511	0.658333	3.45502521381352	12.8856222352111	0
0.508333	0.516	0.663333	3.07136601497987	9.28839738203898	0
0.507667	0.514333	0.661667	3.43628468273382	10.1205488443205	0
0.508	0.514333	0.662667	3.43628468273382	9.93478037176014	0
0.509333	0.513667	0.666	3.83426432103022	11.3002217132984	0
0.508667	0.513333	0.666667	3.63660895209099	11.8981630340982	0
0.504667	0.512	0.663333	5.97599621980145	20.2246424619175	0
0.504	0.512333	0.659667	6.36680383318215	19.5465296878262	0
0.504	0.511667	0.657333	6.63351689265067	19.3576596243877	0
0.504	0.511333	0.659333	6.37330312728001	19.5019299886637	0
0.507	0.512333	0.658333	3.44041825982501	11.9667058301554	0
0.508	0.512333	0.659667	1.57302192001001	4.59997335828098	0
0.511	0.514	0.657	1.24713134116548	2.57547012751839	0
0.511333	0.514	0.656333	1.36781377398129	2.56095384475662	0
0.504667	0.514	0.663	5.36028314380184	17.3550627667853	0
0.505667	0.514333	0.661667	4.89261081528744	17.1120896830843	0
0.506	0.512	0.656667	3.43628468273382	12.499783778867	0
0.505667	0.513333	0.654667	3.25664877627283	11.5292929565639	0
0.506333	0.514	0.654667	3.16763976325852	10.8477037183815	0
0.503	0.510333	0.66	6.90552367501735	21.0214137445879	0
0.503333	0.510667	0.66	6.89877767982706	20.3496413527115	0
0.502667	0.510667	0.659667	6.90552367501735	20.892438426503	0
0.506	0.511667	0.650667	3.35913425526009	11.5259426810504	0
0.506667	0.512333	0.651667	3.36852411849701	11.7187176780080	0
0.506	0.511667	0.651	3.55611036682552	11.7188921605488	0
0.506667	0.511	0.661667	4.45782274243895	13.1709878692387	0
0.504333	0.512333	0.659667	6.35965790566941	19.2710837852013	0
0.504333	0.511667	0.659333	6.36680383318215	19.0183063103039	0
0.504333	0.514	0.659333	5.36688123527013	16.9724016548424	0
0.504667	0.513667	0.663667	5.33691846216672	17.3611137783603	0
0.506333	0.514667	0.664	5.59087928175357	17.1882175255485	0
0.505	0.515667	0.664	6.09010899605577	17.5138782814220	0
0.504333	0.515	0.663667	5.8418051817518	17.6064409475121	0
0.504	0.514667	0.663667	5.598527049611	17.6152533592624	0
0.503667	0.513667	0.663667	5.58262480057335	18.2449108599754	0
0.504	0.513667	0.663333	5.33691846216672	17.8253938824551	0
0.503667	0.514	0.664667	5.56430050886972	18.0015045816316	0
0.504	0.513	0.657667	5.14383163672876	18.0291055557221	0
0.503333	0.513333	0.659667	5.37828628021876	18.9346637306182	0
0.503333	0.512333	0.658667	6.90552367501735	19.3083640679583	0
0.502667	0.513333	0.66	6.63351689265067	19.8805053377159	0
0.503	0.513333	0.66	6.37330312728001	19.1995710200272	0
0.502333	0.514	0.656667	5.77206532529114	19.1889692652489	0
0.511667	0.515	0.655667	1.36250562076532	2.43251433699013	0
0.512333	0.513667	0.655333	1.36781377398129	2.50684409436759	0
0.511	0.513667	0.654333	1.48860251358075	2.69782540033595	0
0.510667	0.513333	0.656667	1.25206697792532	2.73735105170188	0
0.510667	0.516333	0.658667	1.25206697792532	2.58026923897020	0
0.503333	0.512667	0.661	5.8680511984154	19.8259722045769	0
0.503333	0.512667	0.656667	5.36028314380184	18.6466889273348	0
0.503	0.513	0.659	6.3246280087698	19.221993443292	0
0.503	0.514333	0.661	6.3246280087698	19.0098128228291	0
0.503	0.513667	0.661	6.34343000740356	19.6742417137948	0
0.503667	0.513	0.665	6.79457540885611	21.2583308612402	1
0.504	0.513667	0.664333	6.79457540885611	20.5867917279227	0
0.503333	0.513667	0.663333	6.5210095855191	21.2127997866963	0
0.504	0.512667	0.661667	5.97599621980145	19.3602407837658	0
0.509	0.515	0.656	1.03969765892035	3.06295411170590	0
0.509	0.516333	0.656333	1.26512304003099	3.23470485467976	0
0.508667	0.513667	0.656667	1.26888655742632	3.53994070777556	0
